iPhone,Apple iPhone,17
iPad,Apple iPad,14
iPod,Apple iPod,18
Macintosh,Apple Mac,22
Apple TV,Apple TV,41
SM-G935,Samsung Galax S7 Edge,3
SM-G930,Samsung Galax S7,3
SM-G928,Samsung Galax S6 Edge+,3
SM-G925,Samsung Galax S6 Edge,3
SM-G920,Samsung Galax S6,3
SM-G900,Samsung Galax S5,3
SM-G903,Samsung Galax S5 neo,3
SM-G800,Samsung Galax S5 mini,3
GT-I951,Samsung Galax S4,3
GT-I950,Samsung Galax S4,3
SCH-I545,Samsung Galax S4,3
SGH-I337,Samsung Galax S4,3
SPH-L720,Samsung Galax S4,3
SGH-M919,Samsung Galax S4,3
SHV-E300,Samsung Galax S4,3
SM-C101,Samsung Galax S4 Zoom,3
GT-I919,Samsung Galax S4 mini,3
GT-I930,Samsung Galax S3,3
GT-I819,Samsung Galax S3,3
GT-I910,Samsung Galax S2,3
SM-N920,Samsung Galax Note 5,3
SM-N910,Samsung Galax Note 4,3
SM-N900,Samsung Galax Note 3,3
SM-N750,Samsung Galax Note 3 Neo,3
SM-N710,Samsung Galax Note 2,3
GT-N800,Samsung Galax Note 10.1,4
SM-P60,Samsung Galax Note 10.1,4
GT-N511,Samsung Galax Note 8.0,4
GT-N510,Samsung Galax Note 8.0,4
SM-A800,Samsung Galax A8,3
SM-A810,Samsung Galax A8,3
SM-A700,Samsung Galax A7,3
SM-A710,Samsung Galax A7,3
SM-A500,Samsung Galax A5,3
SM-A510,Samsung Galax A5,3
SM-J700,Samsung Galax J7,3
SM-J710,Samsung Galax J7,3
SM-G610,Samsung Galax J7 Prime,3
SM-J500,Samsung Galax J5,3
SM-J510,Samsung Galax J5,3
SM-G570,Samsung Galax J5 Prime,3
SM-J200,Samsung Galax J2,3
SM-J210,Samsung Galax J2,3
SM-G532,Samsung Galax J2 Prime,3
SM-J100,Samsung Galax J1,3
SM-J120,Samsung Galax J1,3
SM-J110,Samsung Galax J1 Ace,3
SM-G600,Samsung Galaxy On7,3
SM-G500,Samsung Galaxy On5,3
SM-T35,Samsung Galaxu Tab A,4
SM-T28,Samsung Galaxu Tab A,4
SM-T58,Samsung Galaxu Tab A,4
SM-P58,Samsung Galaxu Tab A,4
SM-T56,Samsung Galaxu Tab E,4
SM-T70,Samsung Galaxu Tab S,4
SM-T80,Samsung Galaxu Tab S,4
SM-T71,Samsung Galaxu Tab S2,4
SM-T81,Samsung Galaxu Tab S2,4
SM-T53,Samsung Galaxu Tab 4,4
SM-T23,Samsung Galaxu Tab 4,4
SM-T33,Samsung Galaxu Tab 4,4
LG-H85,LG G5,3
LG-H83,LG G5,3
LG-H82,LG G5,3
LG-VS987,LG G5,3
LG-LS992,LG G5,3
LG-US992,LG G5,3
LG-H81,LG G4,3
LG-VS986,LG G4,3
LG-LS991,LG G4,3
LG-US991,LG G4,3
LG-D85,LG G3,3
LG-D80,LG G2,3
LG-VS980,LG G2,3
LG-LS980,LG G2,3
LG-D61,LG G2 mini,3
LG-D62,LG G2 mini,3
LG-H91,LG V20,3
LG-H99,LG V20,3
LG-LS997,LG V20,3
LG-US996,LG V20,3
LG-VS995,LG V20,3
LG-K220,LG X ,3
LG-LS755,LG X ,3
LG-US610,LG X ,3
LG-K580,LG X ,3
LG-K500,LG X ,3
LG-K200,LG X ,3
LG-K600,LG X ,3
Nexus 4,Nexus 4,3
Nexus 5,Nexus 5,3
Nexus 6,Nexus 6,3
Nexus 7,Nexus 7,4
Nexus 9,Nexus 9,4
Nexus 10,Nexus 10,4
Nexus One,Nexus One,3
